q1 loss,q2 loss,pi loss,alpha loss,alpha,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,TSP,TSP_pourcentage,weighted global reward,vertiports reward,obstacles reward,airspace intersection reward,corridor curvature reward,corridor length reward
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.18275237,1.0965142,0.33840415,9.893037,1.05013,37.80468,4.645858,0,0.25648448,0.6,0.0,0.06666667,0.13333334,0.2,6.9897923,240.75797,-3.5970848,0.9804,0.0,-4.5,-0.00059314404,-0.07689165
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.42376053,2.5425632,0.8555021,8.283075,0.60193276,21.669579,2.0662122,271,0.11314994,0.46666667,0.13333334,0.06666667,0.26666668,0.06666667,5.7033043,221.07791,-3.311655,1.2527333,0.0,-4.5,-9.725743e-06,-0.06437855
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.14018543,0.84111255,0.28450978,8.767687,1.083401,39.002434,4.4193797,0,0.28434685,0.73333335,0.0,0.06666667,0.2,0.0,5.720014,187.68466,-1.8920076,2.6764665,0.0,-4.5,-0.0003289937,-0.0681451
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.11895177,0.7137106,0.28852016,11.880038,1.3012302,46.844288,5.911078,0,0.35723472,0.6666667,0.13333334,0.0,0.06666667,0.13333334,8.881909,296.24838,0.026061244,4.6474,0.0,-4.5,-0.029003426,-0.09233523
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.23987369,1.4392421,0.3365588,8.028714,1.043184,37.554626,4.54593,0,0.25946122,0.6666667,0.0,0.0,0.2,0.13333334,5.0873857,172.96216,-5.5795503,-1.0171334,0.0,-4.5,-1.5140462e-05,-0.06240158
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.32896957,1.9738175,0.63852394,7.9928775,0.57006145,20.522211,2.2854898,266,0.07801001,0.2,0.0,0.06666667,0.4,0.33333334,4.7216005,144.33508,-2.9788275,1.5833333,0.0,-4.5,-3.7663947e-05,-0.06212305
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.1990143,1.1940858,0.42031717,9.815641,1.2434708,44.76495,4.911001,0,0.34374294,0.73333335,0.06666667,0.0,0.13333334,0.06666667,7.5489607,333.04034,-1.9125121,2.6637998,0.0,-4.5,-2.1669492e-05,-0.07629012
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.36465684,2.187941,1.0240067,8.419896,1.3165262,47.394943,5.1303663,164,0.32336974,0.73333335,0.06666667,0.0,0.06666667,0.13333334,4.797327,132.42886,-1.9005519,2.6650665,0.0,-4.5,-0.00017644273,-0.065441966
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.13222025,0.7933215,0.23042573,9.118979,0.91344357,32.88397,4.8100066,0,0.23978955,0.6,0.13333334,0.13333334,0.0,0.13333334,6.8673973,305.00317,-1.7311152,2.8398666,0.0,-4.5,-0.00010640874,-0.07087545
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.14946136,0.89676815,0.37289888,8.934845,1.0632079,38.275482,4.6238284,166,0.2743759,0.6666667,0.0,0.0,0.13333334,0.2,6.276159,236.06241,0.19827908,4.7677336,0.0,-4.5,-1.0201053e-05,-0.0694443
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.33369386,2.0021632,0.7214709,7.9928775,1.0363617,37.30902,4.1288695,171,0.26596305,0.6666667,0.13333334,0.0,0.06666667,0.13333334,5.2828074,194.93248,-1.8147607,2.7474,0.0,-4.5,-3.7663947e-05,-0.06212305
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.32739913,1.9643948,0.7482592,9.527041,1.1787063,42.433426,4.5617185,178,0.33227417,0.6,0.06666667,0.06666667,0.13333334,0.13333334,6.9223948,265.771,-5.512664,-0.93859994,0.0,-4.5,-1.6749405e-05,-0.07404703
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.43126807,2.5876083,0.8116724,7.994089,1.155169,41.586082,4.0065165,0,0.25816754,0.6666667,0.33333334,0.0,0.0,0.0,3.9715667,98.73323,-5.670504,-1.1083333,0.0,-4.5,-3.811918e-05,-0.062132467
