spline points,lon,lat
418,-0.72605485,-0.9419195
419,-0.72155786,-0.943618
420,-0.71695703,-0.9450454
421,-0.7122539,-0.9462081
422,-0.7074499,-0.94711244
423,-0.7025465,-0.9477647
424,-0.69754493,-0.94817114
425,-0.69244677,-0.94833815
426,-0.6872534,-0.94827205
427,-0.6819663,-0.94797915
428,-0.6765868,-0.9474658
429,-0.6711164,-0.94673824
430,-0.6655565,-0.9458028
431,-0.65990853,-0.9446659
432,-0.65417385,-0.9433338
433,-0.64835405,-0.94181275
434,-0.64245033,-0.9401092
435,-0.63646436,-0.9382294
436,-0.6303973,-0.93617964
437,-0.6242508,-0.9339663
438,-0.6180262,-0.93159556
439,-0.6117249,-0.929074
440,-0.6053484,-0.92640775
441,-0.59889805,-0.9236031
442,-0.5923753,-0.9206665
443,-0.5857815,-0.9176042
444,-0.5791182,-0.9144225
445,-0.57238674,-0.9111278
446,-0.56558865,-0.90772635
447,-0.55872524,-0.90422446
448,-0.551798,-0.90062845
449,-0.54480827,-0.8969447
450,-0.5377576,-0.89317954
451,-0.53064734,-0.88933915
452,-0.52347887,-0.88543004
453,-0.51625377,-0.8814584
454,-0.5089733,-0.87743056
455,-0.50163895,-0.8733529
456,-0.49425218,-0.86923164
457,-0.48681432,-0.8650732
458,-0.47932693,-0.8608839
459,-0.47179136,-0.8566699
460,-0.46420902,-0.85243773
461,-0.45658132,-0.84819365
462,-0.4489098,-0.8439439
463,-0.44119576,-0.83969486
464,-0.43344063,-0.8354528
465,-0.4256459,-0.8312242
466,-0.41781294,-0.8270151
467,-0.4099432,-0.822832
468,-0.4020381,-0.8186813
469,-0.3940991,-0.8145691
470,-0.38612756,-0.8105019
471,-0.37812495,-0.80648595
472,-0.37009272,-0.8025275
473,-0.36203223,-0.79863304
474,-0.353945,-0.79480875
475,-0.34583232,-0.791061
476,-0.33769575,-0.7873961
477,-0.32953662,-0.78382033
478,-0.32135633,-0.7803402
479,-0.3131564,-0.7769616
480,-0.30493817,-0.7736914
481,-0.29670316,-0.7705355
482,-0.28845277,-0.7675004
483,-0.28018832,-0.7645924
484,-0.27191132,-0.7618178
485,-0.26362324,-0.75918293
486,-0.25532544,-0.7566941
487,-0.24701935,-0.7543577
488,-0.23870641,-0.7521799
489,-0.2303881,-0.75016713
490,-0.22206569,-0.74832577
491,-0.2137407,-0.7466619
492,-0.2054146,-0.74518204
493,-0.19708878,-0.7438925
494,-0.18876457,-0.7427995
495,-0.18044358,-0.7419095
496,-0.17212707,-0.7412287
497,-0.16381651,-0.7407635
498,-0.1555134,-0.7405201
499,-0.14721906,-0.7405049
