spline points,lon,lat
335,-0.7580749,0.52166563
336,-0.76584715,0.5021738
337,-0.77353644,0.48246548
338,-0.7811401,0.4625542
339,-0.7886556,0.44245356
340,-0.7960803,0.42217708
341,-0.8034117,0.40173823
342,-0.81064713,0.38115048
343,-0.8177841,0.3604275
344,-0.82482,0.33958274
345,-0.8317522,0.31862974
346,-0.8385782,0.29758197
347,-0.8452954,0.27645302
348,-0.8519013,0.25525635
349,-0.8583932,0.23400563
350,-0.8647685,0.21271414
351,-0.8710247,0.1913957
352,-0.87715924,0.17006361
353,-0.88316953,0.14873153
354,-0.88905305,0.12741262
355,-0.8948071,0.10612106
356,-0.9004291,0.08486986
357,-0.90591663,0.06367266
358,-0.9112669,0.042543232
359,-0.91647756,0.021494746
360,-0.92154586,0.00054103136
361,-0.9264693,-0.02030468
362,-0.9312453,-0.041028738
363,-0.93587124,-0.061617374
364,-0.9403446,-0.082057595
365,-0.9446628,-0.102335334
366,-0.9488232,-0.12243748
367,-0.9528233,-0.1423502
368,-0.9566604,-0.16206026
369,-0.96033216,-0.18155384
370,-0.96383584,-0.2008177
371,-0.9671687,-0.21983802
372,-0.97032857,-0.23860145
373,-0.9733125,-0.25709438
374,-0.9761181,-0.27530348
375,-0.9787427,-0.29321492
376,-0.9811839,-0.31081545
377,-0.98343885,-0.32809138
378,-0.98550534,-0.34502935
379,-0.9873804,-0.36161578
380,-0.9890617,-0.37783694
381,-0.9905466,-0.3936795
382,-0.9918324,-0.40912974
383,-0.9929167,-0.42417455
384,-0.99379694,-0.4388001
385,-0.99447036,-0.45299292
386,-0.99493456,-0.46673942
387,-0.9951869,-0.480026
388,-0.99522483,-0.49283934
389,-0.99504566,-0.50516593
390,-0.9946469,-0.5169921
391,-0.99402595,-0.52830446
392,-0.9931804,-0.5390893
393,-0.9921074,-0.54933333
394,-0.99080455,-0.5590228
395,-0.98926914,-0.5681442
396,-0.98749876,-0.57668424
397,-0.9854907,-0.5846293
398,-0.9832424,-0.5919657
399,-0.9807514,-0.59868
400,-0.978015,-0.6047588
401,-0.9749801,-0.61025774
402,-0.97159916,-0.61524826
403,-0.96787786,-0.61973995
404,-0.9638218,-0.62374234
405,-0.9594368,-0.62726504
406,-0.9547284,-0.6303177
407,-0.9497025,-0.6329099
408,-0.9443646,-0.63505113
409,-0.93872046,-0.6367511
410,-0.9327758,-0.6380193
411,-0.92653626,-0.6388655
412,-0.9200076,-0.6392991
413,-0.91319543,-0.63932973
414,-0.9061055,-0.63896704
415,-0.8987435,-0.6382206
416,-0.89111507,-0.63710004
417,-0.883226,-0.6356149
418,-0.87508184,-0.63377476
419,-0.86668843,-0.63158923
420,-0.85805136,-0.6290679
421,-0.84917635,-0.6262204
422,-0.84006906,-0.62305623
423,-0.83073527,-0.6195851
424,-0.8211806,-0.61581653
425,-0.81141067,-0.61176014
426,-0.8014314,-0.6074255
427,-0.79124826,-0.6028222
428,-0.78086704,-0.5979598
429,-0.7702934,-0.592848
430,-0.75953305,-0.58749634
431,-0.74859166,-0.58191437
432,-0.73747504,-0.5761117
433,-0.72618866,-0.5700979
434,-0.71473837,-0.5638826
435,-0.7031298,-0.55747545
436,-0.69136876,-0.5508859
437,-0.67946076,-0.54412365
438,-0.66741157,-0.53719825
439,-0.65522695,-0.5301193
440,-0.6429125,-0.52289647
441,-0.6304739,-0.51553917
442,-0.61791694,-0.5080572
443,-0.60524726,-0.5004599
444,-0.59247047,-0.49275714
445,-0.5795924,-0.48495832
446,-0.5666187,-0.47707313
447,-0.55355495,-0.46911108
448,-0.54040706,-0.46108186
449,-0.52718043,-0.452995
450,-0.513881,-0.44486007
451,-0.5005144,-0.4366867
452,-0.48708633,-0.4284845
453,-0.4736024,-0.42026305
454,-0.4600683,-0.4120319
455,-0.4464898,-0.40380067
456,-0.4328726,-0.39557898
457,-0.4192223,-0.38737634
458,-0.40554464,-0.37920243
459,-0.3918454,-0.3710668
460,-0.3781302,-0.36297905
461,-0.36440468,-0.35494885
462,-0.35067457,-0.3469856
463,-0.3369456,-0.3390991
464,-0.3232233,-0.3312988
465,-0.3095137,-0.32359436
466,-0.29582214,-0.31599528
467,-0.28215426,-0.30851126
468,-0.26851624,-0.30115187
469,-0.25491345,-0.29392678
470,-0.24135143,-0.2868453
471,-0.22783619,-0.2799173
472,-0.21437323,-0.27315235
473,-0.20096827,-0.2665599
474,-0.18762702,-0.2601496
475,-0.17435527,-0.25393113
476,-0.16115856,-0.24791393
477,-0.14804256,-0.24210775
478,-0.1350131,-0.23652211
479,-0.122075856,-0.23116645
480,-0.10923636,-0.22605062
481,-0.096500516,-0.2211841
482,-0.08387375,-0.21657649
483,-0.07136214,-0.21223733
484,-0.058970988,-0.20817626
485,-0.04670626,-0.20440283
486,-0.034573376,-0.20092681
487,-0.022578359,-0.19775754
488,-0.010726571,-0.19490469
489,0.00097596645,-0.19237798
490,0.01252377,-0.19018683
491,0.023911178,-0.18834093
492,0.03513235,-0.18684992
493,0.046181858,-0.18572316
494,0.057053506,-0.18497053
495,0.06774205,-0.18460158
496,0.07824165,-0.1846256
497,0.08854693,-0.18505248
498,0.09865159,-0.18589184
499,0.10855037,-0.18715301
